kata_typo,kata_baku
terimakasih,terima kasih
makasih,terima kasih
mksih,terima kasih
trmksh,terima kasih
thx,terima kasih
thanks,terima kasih
dospem,dosen pembimbing
sempro,seminar proposal
semhas,seminar hasil
kompen,kompensasi
ukt,uang kuliah tunggal
spp,uang kuliah tunggal
pkl,praktik kerja lapangan
ta,tugas akhir
kaprodi,ketua program studi
kajur,ketua jurusan
ti,teknik informatika
sib,sistem informasi bisnis
bbt,bebas tanggungan
ktm,kartu tanda mahasiswa
siakad,sistem informasi akademik
gmana,bagaimana
gimana,bagaimana
kalo,kalau
klo,kalau
buat,untuk
utk,untuk
yg,yang
dgn,dengan
nggak,tidak
ga,tidak
gak,tidak
tdk,tidak
bikin,buat
ngurus,urus
batalin,batalkan
wa,whatsapp
nomer,nomor
no,nomor
ingfo,informasi
info,informasi
trimakasih,terima kasih
trmksh,terima kasih
