pertanyaan_nlu,id_kategori,skor_tertinggi,status
berkas permohonan cuti diserahkan kemana,1,0.28,⚠️ Tidak ada jawaban yang cocok
syarat mahasiswa mta,1,0.26,⚠️ Tidak ada jawaban yang cocok
cuti karena nilai jelek,1,0.28,⚠️ Tidak ada jawaban yang cocok
kalau telat daftar ulang 2 minggu statusnya apa,1,0.0,⚠️ Tidak ada jawaban yang cocok
syarat md maba,1,0.29,⚠️ Tidak ada jawaban yang cocok
kapan mahasiswa mta bisa masuk kelas,1,0.3,⚠️ Tidak ada jawaban yang cocok
surat keterangan keluar polinema,2,0.26,⚠️ Tidak ada jawaban yang cocok
menu pengajuan skk di siakad sebelah mana,2,0.28,⚠️ Tidak ada jawaban yang cocok
lama proses bikin surat keterangan ukt,2,0.23,⚠️ Tidak ada jawaban yang cocok
kirim surat permohonan ke email akademik pusat,2,0.23,⚠️ Tidak ada jawaban yang cocok
foto rumah tampak depan dan dalam buat banding ukt,3,0.23,⚠️ Tidak ada jawaban yang cocok
bukti rekening listrik dan air pdm untuk ukt,3,0.23,⚠️ Tidak ada jawaban yang cocok
ayah meninggal pas kuliah apakah bisa turun ukt mandiri,3,0.27,⚠️ Tidak ada jawaban yang cocok
jadwal jatuh tempo pelunasan ukt,3,0.23,⚠️ Tidak ada jawaban yang cocok
bukti bayar pajak kendaraan stnk,3,0.0,⚠️ Tidak ada jawaban yang cocok
dokumen medis ayah sakit keras buat banding ukt,3,0.23,⚠️ Tidak ada jawaban yang cocok
ijazah pdf minta dikirim ke email,4,0.22,⚠️ Tidak ada jawaban yang cocok
skla dipakai buat daftar ujian ta,4,0.29,⚠️ Tidak ada jawaban yang cocok
tes buta warna buat prodi rekayasa,5,0.0,⚠️ Tidak ada jawaban yang cocok
kalau bapak sudah meninggal isi nik nya apa,5,0.0,⚠️ Tidak ada jawaban yang cocok
nama ayah diganti nama ibu di biodata,5,0.0,⚠️ Tidak ada jawaban yang cocok
cara lapor salah tanggal lahir di pddikti,5,0.0,⚠️ Tidak ada jawaban yang cocok
surat rekomendasi kajur buat kelakuan baik,6,0.0,⚠️ Tidak ada jawaban yang cocok
bagaimana cara absen presensi di siakad,7,0.29,⚠️ Tidak ada jawaban yang cocok
siapa yang input absen mahasiswa di siakad,7,0.27,⚠️ Tidak ada jawaban yang cocok
surat keterangan dokter untuk absen,7,0.0,⚠️ Tidak ada jawaban yang cocok
ujian tugas akhir syaratnya apa saja,7,0.0,⚠️ Tidak ada jawaban yang cocok
nilai pkl minimal c buat daftar skripsi,7,0.0,⚠️ Tidak ada jawaban yang cocok
seminar hasil dan sempro wajib buat ta,7,0.0,⚠️ Tidak ada jawaban yang cocok
submit jurnal opsional syarat ta,7,0.0,⚠️ Tidak ada jawaban yang cocok
masukin mata kuliah skripsi di krs,7,0.0,⚠️ Tidak ada jawaban yang cocok
gladi bersih wisuda wajib,7,0.0,⚠️ Tidak ada jawaban yang cocok
undangan wisuda ortu barcode,7,0.0,⚠️ Tidak ada jawaban yang cocok
pakai bahasa inggris dan indonesia di ijazah hybrid,7,0.0,⚠️ Tidak ada jawaban yang cocok
ketentuan mahasiswa mta,1,0.3,⚠️ Tidak ada jawaban yang cocok
kapan kajur bikin berkas rekomendasi cuti,1,0.28,⚠️ Tidak ada jawaban yang cocok
ketentuan minta turun ukt,3,0.23,⚠️ Tidak ada jawaban yang cocok
ijazahku ilang min langkah gantinya gmn,4,0.0,⚠️ Tidak ada jawaban yang cocok
langkah dapat file ijazah asli,4,0.21,⚠️ Tidak ada jawaban yang cocok
sertifikat toeic buat berkas wajib skripsi,4,0.0,⚠️ Tidak ada jawaban yang cocok
pakai dokumen keterangan lulus sma buat daftar ulang,5,0.0,⚠️ Tidak ada jawaban yang cocok
panduan update lapor salah tanggal lahir di pddikti,5,0.0,⚠️ Tidak ada jawaban yang cocok
pengantar rekomendasi kajur buat kelakuan baik,6,0.0,⚠️ Tidak ada jawaban yang cocok
bukti keterangan keterangan dokter untuk absen,7,0.0,⚠️ Tidak ada jawaban yang cocok
