id_kb;id_kategori;pertanyaan_baku;jawaban
1;1;Definisi dan Lama Waktu Cuti Akademik;Cuti Akademik adalah penundaan perkuliahan maksimal 2 semester berturut-turut atau 1 tahun. Cuti diajukan kepada Direktur melalui urusan persuratan akademik pusat.
2;1;Batas Waktu Pengajuan Cuti Akademik;Pengajuan cuti akademik maksimal dilakukan 2 minggu setelah Yudisium semester sebelumnya. Bagi mahasiswa yang tidak lulus atau alfa, wajib mengajukan dalam rentang waktu tersebut.
3;1;Syarat Pengajuan Cuti Akademik;Syarat mengajukan cuti: telah menempuh pendidikan minimal 2 semester (kecuali karena sakit keras/rawat inap), melampirkan form permohonan ttd orang tua dan Kajur, serta bebas dari tunggakan UKT.
4;1;Aturan Pembayaran UKT Saat Cuti Akademik;Jika SK Direktur tentang Cuti Akademik terbit SEBELUM masa pembayaran UKT semester tersebut, maka mahasiswa dibebaskan dari pembayaran UKT. Jika terbit setelahnya, uang yang sudah dibayarkan tidak dapat ditarik kembali.
5;1;Syarat dan Prosedur Pengunduran Diri;Pengunduran diri diajukan secara tertulis kepada Direktur dengan ttd mahasiswa, orang tua, dan mengetahui Kajur. Mahasiswa harus mengembalikan KTM dan melampirkan bukti lunas UKT. Status ini tidak dapat dibatalkan.
6;1;Prosedur Pengunduran Diri Mahasiswa Baru;Mahasiswa baru yang ingin mengundurkan diri (cabut berkas) dapat mengirimkan surat pernyataan bermaterai yang ditandatangani orang tua ke email resmi akademik pusat. UKT/IPI yang sudah dibayarkan tidak dapat ditarik kembali.
7;1;Definisi Status Terminal;Terminal adalah status penundaan studi yang diberikan kampus (bukan kemauan mahasiswa) akibat ketidaklulusan pada semester evaluasi (D3 smt 5/6, D4 smt 7/8). Masa terminal tetap dihitung sebagai masa studi.
8;1;Kewajiban Mahasiswa Status Terminal;Mahasiswa dengan status terminal wajib melakukan pendaftaran ulang pada setiap awal semester meskipun tidak mengikuti perkuliahan di kelas.
9;1;Cara Aktif Kembali Pasca Cuti atau Terminal;Mahasiswa wajib membayar UKT sesuai jadwal. Setelah lunas, status di SIAKAD akan diaktifkan oleh Admin Akademik Pusat, kemudian mahasiswa melapor ke Admin Prodi untuk dimasukkan ke dalam kelas perkuliahan.
10;1;Prosedur Mengaktifkan Status Mengulang TA;Mahasiswa yang belum lulus Skripsi/TA dan habis masa studinya harus membayar UKT. Setelah lunas, lapor ke Bagian Akademik untuk mengubah status dari Tidak Aktif Mengulang TA menjadi Mengulang TA.
