id_dataset;id_kategori;pertanyaan_variasi
1;1;prosedur pengajuan cuti akademik
2;1;ketentuan buat cuti semester ini apa saja
3;1;min saya mau istirahat kuliah dulu caranya
4;1;apa itu status mahasiswa terminal
5;1;ketentuan terminal kuliah karena nilai
6;1;prosedur ngajuin cuti
7;1;batas waktu pengajuan cuti akademik
8;1;apakah cuti akademik bayar ukt
9;1;form permohonan cuti kuliah
10;1;mau cuti bentar min
11;1;ketentuan pengunduran diri mahasiswa polinema
12;1;mau keluar dari kampus prosedur mundurnya
13;1;prosedur mengundurkan diri buat maba
14;1;berkas pengunduran diri
15;1;berkas pernyataan mundur dari polinema
16;1;prosedur aktif kuliah lagi setelah cuti 2 semester
17;1;ketentuan aktif kuliah lagi
18;1;lapor aktif kuliah pasca cuti
19;1;prosedur mengurus pengaktifan status mengulang ta
20;1;perpanjang waktu skripsi ngurusnya kemana
21;1;min mau lapor aktif dari terminal
22;1;kalau nilai jelek dan kena terminal harus ngapain
23;1;apakah mahasiswa terminal wajib daftar ulang
24;1;berkas pengunduran diri diserahkan ke siapa
25;1;kalau sudah cuti apakah bisa dibatalkan
26;1;batas maksimal lama cuti akademik polinema
27;1;maba mau ngundurin diri caranya gmn
28;1;aktifkan status dari tidak aktif mengulang ta
29;1;konfirmasi pembayaran ukt mahasiswa mengulang ta
30;1;alur rekomendasi cuti dari ketua jurusan
31;1;apakah cuti bisa dibatalkan kalau sudah disetujui
32;1;cuti akademik maksimal berapa semester sih
33;1;kalau mau cuti karena sakit keras syaratnya apa
34;1;prosedur lapor ke kajur kalau mau cuti
35;1;berkas permohonan cuti diserahkan kemana
36;1;disposisi direktur untuk cuti itu apa
37;1;apakah mahasiswa reguler cuti harus daftar ulang
38;1;cabut berkas dari polinema caranya
39;1;prosedur ambil ijazah sma kalau mengundurkan diri
40;1;maba belum dapat nim mau mundur bisa nggak
41;1;kalau sudah bayar ukt terus mundur uangnya kembali tidak
42;1;berkas pengunduran diri maba dikirim ke email mana
43;1;status terminal itu bayar ukt ngga
44;1;apa bedanya cuti sama terminal
45;1;kalau ipk jelek apakah langsung diterminalkan
46;1;berkas keterangan terminal minta kemana
47;1;aktif kembali setelah terminal satu semester
48;1;prosedur masuk kelas lagi habis cuti
49;1;siapa yang ngurusin mahasiswa aktif kembali
50;1;status di siakad belum aktif padahal udah bayar ukt pasca cuti
51;1;prosedur lapor pembayaran ukt mahasiswa mengulang tugas akhir
52;1;mta itu apa min
53;1;ketentuan mahasiswa mta
54;1;kapan batas maksimal ngajuin cuti setelah yudisium
55;1;cuti karena nilai jelek
56;1;cuti karena absensi alfa banyak
57;1;apakah cuti dihitung masa studi
58;1;masa studi maksimal d4 berapa tahun
59;1;kalau telat daftar ulang 2 minggu statusnya apa
60;1;rekomendasi cuti dari ketua jurusan itu maksudnya apa
61;1;kapan kajur bikin berkas rekomendasi cuti
62;1;mengundurkan diri karena nilai tidak lulus
63;1;status mengundurkan diri maba di siakad
64;1;kalau maba mundur sebelum kuliah mulai statusnya apa
65;1;ketentuan md maba
66;1;mengulang ta harus bayar ukt full atau tidak
67;1;kapan mahasiswa mta bisa masuk kelas
68;1;admin prodi belum masukin ke kelas untuk mta
69;1;kalau lunas ukt tapi masih status tidak aktif mengulang ta
70;1;prosedur konfirmasi bayar ukt ke admin akademik pusat
71;2;cara urus surat keterangan mahasiswa meninggal dunia
72;2;syarat lapor mahasiswa meninggal
73;2;berkas surat kematian mahasiswa
74;2;lapor teman meninggal ke akademik
75;2;cara urus surat keterangan prodi serumpun untuk cpns
76;2;minta surat prodi serumpun
77;2;surat keterangan kesamaan jurusan
78;2;syarat surat prodi serumpun buat daftar kerja
79;2;bikin surat serumpun polinema
80;2;form surat prodi serumpun
81;2;minta surat keterangan alumni polinema
82;2;surat bukti alumni
83;2;cara minta surat keterangan lulusan sini
84;2;cara minta surat keterangan aktif kuliah skk
85;2;syarat buat skk di siakad
86;2;min mau minta surat keterangan mahasiswa buat beasiswa
87;2;suket aktif kuliah
88;2;cara download surat aktif kuliah di siakad
89;2;minta suket aktif
90;2;surat keterangan kuliah polinema
91;2;prosedur pembuatan surat model c untuk tunjangan gaji orang tua
92;2;syarat surat model c pns
93;2;buat surat model c
94;2;cara ngurus surat tunjangan anak
95;2;cetak surat model c siakad
96;2;syarat surat keterangan pernah kuliah buat pindah kampus
97;2;surat bukti pernah kuliah disini
98;2;cara urus surat pindah kampus
99;2;minta transkrip buat pindah kuliah
100;2;surat keterangan keluar polinema
101;2;syarat minta surat berkelakuan baik
102;2;surat kelakuan baik dari kampus ngurusnya ke mana
103;2;minta surat kelakuan baik dari kampus
104;2;syarat skck kampus
105;2;surat rekomendasi kelakuan baik
106;2;mau minta surat keterangan tidak sedang menerima beasiswa
107;2;form surat pernyataan tidak terima beasiswa lain
108;2;surat bebas beasiswa
109;2;cara urus surat tidak dapat beasiswa
110;2;suket tidak nerima beasiswa
111;2;akta kematian untuk lapor mahasiswa meninggal
112;2;siapa yang bisa lapor mahasiswa meninggal
113;2;setting status meninggal dunia di siakad
114;2;apakah surat prodi serumpun ditandatangani wadir 1
115;2;surat prodi serumpun fisiknya ada stempel basah ga
116;2;berapa lama bikin surat prodi serumpun
117;2;alumni minta surat keterangan serumpun lewat online bisa
118;2;buat surat keterangan alumni polinema bayar nggak
119;2;apa itu surat keterangan alumni
